ESort,RSort,ExamItem,ExamResult1,ExamResult2,ExamMemo,Year,Month
0,0,黃麴毒素 Aflatoxin,,,合格,2024,1
0,1,汞 Hg,,,合格,2024,1
0,2,砷 As,,,合格,2024,1
0,3,無機砷 iAs,,,合格,2024,1
0,4,鉛 Pb,,,合格,2024,1
0,5,鎘 Cd,,,合格,2024,1
0,6,沙門氏桿菌 Salmonella,,,合格,2024,1
1,0,丁基羥基甲氧苯(BHA) ,,,合格,2024,1
1,1,二丁基羥基甲苯(BHT) ,,,合格,2024,1
1,2,衣索金 Ethoxyquin,,,合格,2024,1
1,3,黃麴毒素 Aflatoxin,,,合格,2024,1
1,4,"產氣莢膜桿菌 
Clostridium perfringens",,,合格,2024,1
1,5,飛佈達 Heptachlor,,,合格,2024,1
1,6,地特靈 Dieldrin,,,合格,2024,1
1,7,安特靈 Endrin,,,合格,2024,1
1,8,阿特靈 Aldrin,,,合格,2024,1
1,9,蟲必死 BHC,,,合格,2024,1
1,10,滴滴涕 DDT,,,合格,2024,1
2,0,丁基羥基甲氧苯(BHA) ,,,合格,2024,1
2,1,二丁基羥基甲苯(BHT) ,,,合格,2024,1
2,2,衣索金 Ethoxyquin,,,合格,2024,1
2,3,黃麴毒素 Aflatoxin,,,合格,2024,1
2,4,"單核球增多性李斯特菌
 Listeria monocytogenes",,,合格,2024,1
3,0,丁基羥基甲氧苯(BHA) ,,,合格,2024,1
3,1,二丁基羥基甲苯(BHT) ,,,合格,2024,1
3,2,衣索金 Ethoxyquin,,,合格,2024,1
3,3,"病原性大腸桿菌 
Enteropathogenic Escherichia coli",,,合格,2024,1
3,4,安特靈 Endrin,,,合格,2024,1
3,5,飛佈達 Heptachlor,,,合格,2024,1
3,6,阿特靈 Aldrin,,,合格,2024,1
3,7,地特靈 Dieldrin,,,合格,2024,1
3,8,蟲必死 BHC,,,合格,2024,1
3,9,滴滴涕 DDT,,,合格,2024,1
4,0,丁基羥基甲氧苯(BHA) ,,,合格,2024,1
4,1,二丁基羥基甲苯(BHT) ,,,合格,2024,1
4,2,衣索金 Ethoxyquin,,,合格,2024,1
4,3,黃麴毒素 Aflatoxin,,,合格,2024,1
4,4,沙門氏桿菌 Salmonella,,,合格,2024,1
5,0,丁基羥基甲氧苯(BHA) ,,,合格,2024,1
5,1,二丁基羥基甲苯(BHT) ,,,合格,2024,1
5,2,衣索金 Ethoxyquin,,,合格,2024,1
5,3,汞 Hg,,,合格,2024,1
5,4,砷 As,,,合格,2024,1
5,5,鉛 Pb,,,合格,2024,1
5,6,鎘 Cd,,,合格,2024,1
5,7,"單核球增多性李斯特菌 
Listeria monocytogenes",,,合格,2024,1
6,0,丁基羥基甲氧苯(BHA) ,,,合格,2024,1
6,1,二丁基羥基甲苯(BHT) ,,,合格,2024,1
6,2,衣索金 Ethoxyquin,,,合格,2024,1
6,3,汞 Hg,,,合格,2024,1
6,4,砷 As,,,合格,2024,1
6,5,鉛 Pb,,,合格,2024,1
6,6,鎘 Cd,,,合格,2024,1
6,7,"病原性大腸桿菌 
Enteropathogenic Escherichia coli",,,合格,2024,1
7,0,丁基羥基甲氧苯(BHA) ,,,合格,2024,1
7,1,二丁基羥基甲苯(BHT) ,,,合格,2024,1
7,2,衣索金 Ethoxyquin,,,合格,2024,1
7,3,汞 Hg,,,合格,2024,1
7,4,砷 As,,,合格,2024,1
7,5,鉛 Pb,,,合格,2024,1
