County,GovName,FileID,CompanyName,FoodName,Suitable,ItemType,MFDate,EXPDate,InspectionMethod,ReasonAndAmount,RegulationLimit,NonConformingProductQuantity,DisposalSituation,PostDate,K_Delete,FileExt
W,高雄市動物保護處,1779696818733,哈里貝貝實業有限公司,皮條客,D,5,2025/12/28,,自訂方法-飼料產氣莢膜桿菌標準檢驗方法指導書(文件編號: B-7.2-01-31a)，參考MOHWM0006.02(不包含第二部)。,產氣莢膜梭菌陽性,不得檢出,待業者回報,待業者下架回收,2026/05/21,0,jpg
A,新北市政府動物保護防疫處,1777461700816,奧也股份有限公司,海夫默克 挪威鱈魚營養棒 100g,D,5,,2027/12/04,"自訂方法-飼料中重金屬含量標準檢驗 方法指導書(文件編號:B-7.2-05-03) 參考 MOHWH0014.03, AOAC 986.15, AOAC  984.27.，砷定量極限 0.1ppm(mg/kg)。 ",重金屬砷18.7ppm(mg/kg),10pppm,待廠商回復,命廠商下架回收,2026/04/29,0,png
M,屏東縣政府農業處,1776848482542,耀月企業股份有限公司,Chew me舒肥旗魚菲力,DC,3,2025/06/25,2027/06/24,"自訂方法-飼料中重金屬含量標準檢驗方法指導書(文件編號:B-7.2-05-03) 參考MOHWH0014.03, AOAC 986.15, AOAC 984.27.，砷定量極限 0.1ppm(mg/kg)。",重金屬「砷」含量15.2mg/kg(ppm),10ppm,1377顆,下架回收216顆，已於115年5月7日銷毀完畢，廢棄品待清運。,2026/04/22,0,jpg
A,新北市政府動物保護防疫處,1768179817883,八犬國際行銷有限公司,Mr.凍乾貓用天然原肉凍乾(180g)-牛肉,C,5,2025/11/17,2027/11/16,自訂方法-飼料沙門氏桿菌標準檢驗方法指導書(文件編號:B-7.2-01-05a) 參考 MOHWM0025.01。,沙門氏桿菌陽性,陰性,113包,已於115年2月12日銷毀完畢,2026/01/12,0,png
C,桃園市政府動物保護處,1767956853192,品果國際行銷有限公司,Mr.MEAT 肉鮮生-凍乾主食-貓-牛肉,C,5,,2027/07/20,自訂方法-飼料沙門氏桿菌標準檢驗方 法指導書(文件編號:B-7.2-01-05a) 參考 ,沙門氏桿菌 檢驗結果陽性,寵物食品不得含有下列病原微生物:沙門氏菌（Salmonella）,待廠商提供回收計畫書,已通知廠商要提供回收計畫書及立刻下架不合格產品(產品貨號/批號：20.07.2027),2026/01/09,0,jpg
W,高雄市動物保護處,1767757426790,加拿大渴望寵物食品股份有限公司,新鮮鮪魚佐鱉蛋凍乾,DC,5,2024/05/20,2026/05/19,"自訂方法-飼料中重金屬含量標準檢驗方法指導書(文件編號:B-7.2-05-03) 參考MOHWH0014.03, AOAC 986.15, AOAC 984.27.，汞定量極限 0.1ppm(mg/kg)。",汞含量為初驗0.5mg/Kg及複驗0.6mg/Kg,0.3ppm,300包,產品完成回收銷毀,2026/01/07,0,jpg
W,高雄市動物保護處,1767758040736,寵愛食作,肉肉薯片,DC,5,2025/08/24,2026/05/19,自訂方法-飼料沙門氏桿菌標準檢驗方法指導書(文件編號:B-7.2-01-05a) 參考 MOHWM0025.01。,沙門氏桿菌陽性,不得含有沙門氏菌,8包,業者已完成回收作業。,2026/01/05,0,jpeg
M,屏東縣政府農業處,1766055813524,50喵-鮮作魚乾,凍乾脆殼泰國蝦,DC,5,2025/11/10,2026/05/10,"自訂方法-飼料中重金屬含量標準檢驗方法指導書(文件編號:B-7.2-05-03) 參考MOHWH0014.03, AOAC 986.15, AOAC 984.27.，鎘定量極限 0.1ppm(mg/kg)。",重金屬「鎘」含量初驗及複驗結果分別為15.1及13.2mg/kg（ppm）,2ppm,2.67公斤,回收銷毀2.27公斤，並於115年1月7日完成裁處(屏府農動字第1140350043號)。,2025/12/18,0,jpg
A,新北市政府動物保護防疫處,1765539787443,螢火蟲原創股份有限公司,極寵宴生食冷凍乾燥飼料|全齡犬配方-雞肉+牛肉(500g),D,1,2025/05/05,2027/05/04,自訂方法-飼料沙門氏桿菌標準檢驗方法指導書(文件編號:B-7.2-01-05a) 參考 MOHWM0025.01。,沙門氏菌陽性,陰性,76包,已於115年1月30日銷毀完畢,2025/12/15,0,webp
A,新北市政府動物保護防疫處,1765248453652,奧也股份有限公司,纖嚼無穀健齒棒 薑黃香菇S號,D,6,2024/11/08,2026/11/07,自訂方法-丁基羥基甲氧苯和二丁基羥基甲苯標準檢驗方法指導書(文件編號:B-7.2-02-36) 參考MOHWA0021.02，二丁基羥基甲苯(BHT)定量極限 10ppm (mg/kg)。,二丁基羥基甲苯(BHT)含量為194ppm,"衣索金（Ethoxyquin）、丁羥甲苯（Butylated hydroxytoluene, BHT）及丁羥甲醚（Bu-tylatedhydroxyanisole, BHA）含量總和：150ppm。",320包,已於115年2月26毀銷完畢,2025/12/09,0,avif
