TotalCount,CountyName,SampleID,InspectionDate,FoodName,Suitable,ItemType,CompanyName,OriginCountry,ViolationDescription,DisposalSituation,SQ,SortDate,Year,Month,UpdateDate,County,CY,CM,KW,CN
4860,新北市,AP001,2024/01/18,赫緻低溫風乾健康糧《單一純肉.無骨羊肉》2lbs,犬,乾糧,珍食堡實業股份有限公司,臺灣,無,,0,2024-01-18T00:00:00,2024,1,2024-05-29T11:53:02.39,,104年1月至115年6月,1,,
4860,新北市,AP002,2024/01/18,(火雞優多)艾富鮮-火雞筋條 (75g±5%*10包入),犬,零食,珍食堡實業股份有限公司,越南,無,,0,2024-01-18T00:00:00,2024,1,2024-05-29T11:53:02.39,,104年1月至115年6月,1,,
4860,新北市,AP003,2024/01/18,TR1雞腿肉片(100g±5%),犬,零食,珍食堡實業股份有限公司,臺灣,無,,0,2024-01-18T00:00:00,2024,1,2024-05-29T11:53:02.39,,104年1月至115年6月,1,,
4860,新北市,AP004,2024/01/18,TR93 鵝肝六角小香腸(180g±5%),犬,零食,珍食堡實業股份有限公司,臺灣,無,,0,2024-01-18T00:00:00,2024,1,2024-05-29T11:53:02.39,,104年1月至115年6月,1,,
4860,新北市,AP005,2024/01/18,TR30 鴨肝夾心雞肉條(160g±5%),犬,零食,珍食堡實業股份有限公司,臺灣,無,,0,2024-01-18T00:00:00,2024,1,2024-05-29T11:53:02.39,,104年1月至115年6月,1,,
4860,臺中市,SP001,2024/01/03,葛莉絲CAT CARE 海洋口味,貓,乾糧,福壽實業股份有限公司,臺灣,標示涉誇大不實,通知業者限期改善,2,2024-01-03T00:00:00,2024,1,2024-05-29T11:53:02.39,,104年1月至115年6月,1,,
4860,臺中市,SP002,2024/01/03,博士巧思成犬專業配方,犬,乾糧,福壽實業股份有限公司,臺灣,無,,2,2024-01-03T00:00:00,2024,1,2024-05-29T11:53:02.39,,104年1月至115年6月,1,,
4860,臺中市,SP003,2024/01/03,博士巧思幼犬專業配方,犬,乾糧,福壽實業股份有限公司,臺灣,標示涉誇大不實,通知業者限期改善,2,2024-01-03T00:00:00,2024,1,2024-05-29T11:53:02.39,,104年1月至115年6月,1,,
4860,臺中市,SP004,2024/01/03,健康紀元貓食 泌尿道健康照護配方,貓,乾糧,福壽實業股份有限公司,臺灣,無,,2,2024-01-03T00:00:00,2024,1,2024-05-29T11:53:02.39,,104年1月至115年6月,1,,
4860,臺中市,SP005,2024/01/03,博士巧思低過敏專業配方,犬,乾糧,福壽實業股份有限公司,臺灣,無,,2,2024-01-03T00:00:00,2024,1,2024-05-29T11:53:02.39,,104年1月至115年6月,1,,
4860,臺南市,UP001,2024/01/11,班尼菲LID無穀狗糧(原野羊肉+有機藍莓),犬,乾糧,"班尼菲國際股份有限公司
(代工廠：保生實業股份有限公司)",臺灣,無,,4,2024-01-11T00:00:00,2024,1,2024-05-29T11:53:02.39,,104年1月至115年6月,1,,
4860,臺南市,UP002,2024/01/11,LV藍帶無穀濃縮天然貓糧,貓,乾糧,"班尼菲國際股份有限公司
(代工廠：保生實業股份有限公司)",臺灣,無,,4,2024-01-11T00:00:00,2024,1,2024-05-29T11:53:02.39,,104年1月至115年6月,1,,
4860,臺南市,UP003,2024/01/18,威仕低過敏保健貓糧,貓,乾糧,遠達國際有限公司,臺灣,無,,4,2024-01-18T00:00:00,2024,1,2024-05-29T11:53:02.39,,104年1月至115年6月,1,,
4860,臺南市,UP004,2024/01/18,威仕安心糧-牛肉風味(成犬齡適用),犬,乾糧,遠達國際有限公司,臺灣,無,,4,2024-01-18T00:00:00,2024,1,2024-05-29T11:53:02.39,,104年1月至115年6月,1,,
4860,臺南市,UP005,2024/01/22,寶多福-健康機能系列 無憂好心情配方(全齡犬),犬,乾糧,統一企業(股)公司 ,臺灣,無,,4,2024-01-22T00:00:00,2024,1,2024-05-29T11:53:02.39,,104年1月至115年6月,1,,
4860,高雄市,WP001,2024/01/08,馬鈴薯雞腿,犬、貓,零食,正成寵物有限公司,臺灣,無,,6,2024-01-08T00:00:00,2024,1,2024-05-29T11:53:02.39,,104年1月至115年6月,1,,
4860,高雄市,WP002,2024/01/08,南瓜雞腿,犬、貓,零食,正成寵物有限公司,臺灣,無,,6,2024-01-08T00:00:00,2024,1,2024-05-29T11:53:02.39,,104年1月至115年6月,1,,
4860,高雄市,WP003,2024/01/08,紅蘿蔔雞腿,犬、貓,零食,正成寵物有限公司,臺灣,無,,6,2024-01-08T00:00:00,2024,1,2024-05-29T11:53:02.39,,104年1月至115年6月,1,,
4860,高雄市,WP004,2024/01/08,地瓜雞腿,犬、貓,零食,正成寵物有限公司,臺灣,無,,6,2024-01-08T00:00:00,2024,1,2024-05-29T11:53:02.39,,104年1月至115年6月,1,,
4860,高雄市,WP005,2024/01/08,鵪鶉蛋雞腿,犬、貓,零食,正成寵物有限公司,臺灣,無,,6,2024-01-08T00:00:00,2024,1,2024-05-29T11:53:02.39,,104年1月至115年6月,1,,
4860,桃園市,CP001,2024/01/15,陪心無穀低敏貓糧-海魚野莓口味,貓,乾糧,唯寵股份有限公司,臺灣,無,,8,2024-01-15T00:00:00,2024,1,2024-05-29T11:53:02.39,,104年1月至115年6月,1,,
4860,桃園市,CP002,2024/01/15,陪心無穀低碳犬糧-雞肉鮮蔬口味,犬,乾糧,唯寵股份有限公司,臺灣,無,,8,2024-01-15T00:00:00,2024,1,2024-05-29T11:53:02.39,,104年1月至115年6月,1,,
4860,桃園市,CP003,2024/01/15,陪心無穀低碳貓糧-鮮雞野莓口味,貓,乾糧,唯寵股份有限公司,臺灣,無,,8,2024-01-15T00:00:00,2024,1,2024-05-29T11:53:02.39,,104年1月至115年6月,1,,
4860,桃園市,CP004,2024/01/15,陪心無穀低敏犬糧-魚肉鮮蔬口味,犬,乾糧,唯寵股份有限公司,臺灣,無,,8,2024-01-15T00:00:00,2024,1,2024-05-29T11:53:02.39,,104年1月至115年6月,1,,
4860,桃園市,CP005,2024/01/15,陪心無穀低敏犬糧-羊肉鮮蔬口味,犬,乾糧,唯寵股份有限公司,臺灣,無,,8,2024-01-15T00:00:00,2024,1,2024-05-29T11:53:02.39,,104年1月至115年6月,1,,
4860,彰化縣,GP001,2024/01/26,優格鮮肉佐餐凍乾-雞肉+鮭魚,貓,零食,"艾澌克企業股份有限公司
(代工廠：達欣生物科技股份有限公司)",臺灣,無,,12,2024-01-26T00:00:00,2024,1,2024-05-29T11:53:02.39,,104年1月至115年6月,1,,
4860,彰化縣,GP002,2024/01/26,ZIMPLE呼嚕凍乾#1嫩雞柳,貓,零食,"艾澌克企業股份有限公司
(代工廠：達欣生物科技股份有限公司)",臺灣,無,,12,2024-01-26T00:00:00,2024,1,2024-05-29T11:53:02.39,,104年1月至115年6月,1,,
4860,彰化縣,GP003,2024/01/26,Chillpet敲派 佐餐開胃粉,貓,乾糧,"艾澌克企業股份有限公司
(代工廠：達欣生物科技股份有限公司)",臺灣,無,,12,2024-01-26T00:00:00,2024,1,2024-05-29T11:53:02.39,,104年1月至115年6月,1,,
4860,彰化縣,GP004,2024/01/26,in+plus,犬,營養補充品,"艾澌克企業股份有限公司
(代工廠：達欣生物科技股份有限公司)",臺灣,無,,12,2024-01-26T00:00:00,2024,1,2024-05-29T11:53:02.39,,104年1月至115年6月,1,,
